"!,",,,,,,,,,,,,,
"@Personne: #id",+Noms,+Prénoms,+Adresses,+Cursus,%+Travaille_pour,%+Actionnaire_de,%+Membre_de,%+Parents,%+Intimes,%+avocats,image,+Pages,+Autres_sources
Macron,Macron,Emmanuel,,,,,EM,Trogneux-Macron,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Emmanuel_Macron_in_Tallinn_Digital_Summit._Welcome_dinner_hosted_by_HE_Donald_Tusk._Handshake_%2836669381364%29_%28cropped_2%29.jpg,,
Niel,Niel,Xavier,,,,"Free, Mediapart",,Arnault_D,,Toby,https://upload.wikimedia.org/wikipedia/commons/4/4f/Xavier_Niel.jpg,,
Mimi,Marchand,"Michèle (dit Mimi)",,,Arnault_B,,,,,Toby,"https://static.lexpress.fr/medias_11901/w_1696,h_949,c_crop,x_352,y_75/w_480,h_270,c_fill,g_north/v1537962381/mimi-marchand_6093537.jpg",37,
Khiroun,Khiroun,Ramzy,,,Lagardère_A,,,,,,https://img.20mn.fr/O2G6C5TgTZeSlzMDMDJSSQ/310x190_conseiller-communication-ramzi-khiroun-3-juin-2013-paris.jpg,,
Sarkozy,Sarkozy,Nicolas,,,,,UMP,,,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Flickr_-_europeanpeoplesparty_-_EPP_Summit_October_2010_%28105%29.jpg,,
Lagardère_A,Lagardère,Arnaud,,,,,,,,,https://www.challenges.fr/assets/img/2015/07/30/cover-r4x3w1000-58245972317ce-lagardere-releve-son-objectif-de-resultat-operationnel.jpg,,
Arnault_B,Arnault,Bernard,,,,,LVMH,Arnault_D,Macron,,https://secure-journal.hautehorlogerie.org/wp-content/uploads/2016/04/fhhmag_slideshow_003858-001.jpg,,
Arnault_D,Arnault,Delphine,,,,,,"Arnault_B, Niel",,,https://gw.geneanet.org/public/img/media/deposits/cc/f0/4045224/medium.jpg?t=1449654704,,
Jouyet,Jouyet,Jean-Pierre,,,,,,Taittinger-Jouyet,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/M_JOUYET_08_AMF_2009.JPG/220px-M_JOUYET_08_AMF_2009.JPG,,
Squarcini,Squarcini,Bernard,,,,,LVMH,,,,https://dirigeants-entreprise.com/images/t5385-800-800-50.jpg,,
Hermand,Hermand,Henry,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Henry_Hermand.JPG/260px-Henry_Hermand.JPG,,
Chaker,Chaker,Ludovic,,,,,EM,,,,https://i1.wp.com/www.taiwanmag.net/wp-content/uploads/2012/05/ludovic-chaker.jpg,,
Benalla,Benalla,Alexandre,,,,,,,,,https://www.intelli.news/wp-content/uploads/2019/01/le-mensonge-de-la-femme-dAlexandre-Benalla.jpg,,
Van_Ruymbeke,"Van Ruymbeke",Renaud,,,,,,,,,https://www.babelio.com/users/AVT_Renaud-Van-Ruymbeke_2121.jpeg,,
Philippe,Philippe,Edouard,,,,,"UMP, EM",Chabre,,,https://cdn.radiofrance.fr/s3/cruiser-production/2017/05/ddc8681e-7fa9-458b-a622-ecfff29bf116/640_rtx35yvi.jpg,,
Emelien,Emelien,Ismaël,,,,,EM,Ribault,,,https://www.challenges.fr/assets/img/2017/04/30/images_list-r4x3w1000-5905e8aa573f9-ismae-l-emelien.jpg,,
Mourad,Mourad,Bernard,,,Drahi,,EM,,Macron,,https://www.challenges.fr/assets/img/2016/10/04/cover-r4x3w1000-57f3b622ed8fb-Mourad.jpg,34,
Lebrun,Lebrun,Annie,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Annie_Le_Brun_2009.jpg,,
Lecornu,Lecornu,Sébastien,,,,,EM,,,,https://static.actu.fr/uploads/2018/10/Lecornu-dA13%A9partement.jpg,,
